code_insee;val_ind;conc_pm10;conc_pm25;conc_no2;conc_so2;conc_o3;poll_resp;date_run;date_ech
28415;4;22.7;11.6;23.8;0.4;155.7;o3;14/06/2023;16/06/2023
37094;4;16.2;9.4;16.1;0.1;145.1;o3;14/06/2023;16/06/2023
18273;4;12.6;7.5;12.9;0.2;137.6;o3;14/06/2023;16/06/2023
41217;4;14.5;8.3;16.7;0.1;149;o3;14/06/2023;16/06/2023
28182;4;20.4;10.4;21.9;0.2;152.3;o3;14/06/2023;16/06/2023
28192;4;21;10.6;21.6;0.2;151.2;o3;14/06/2023;16/06/2023
36246;4;16.9;10.1;15.1;0.1;147.3;o3;14/06/2023;16/06/2023
41208;4;16.6;9.1;20.1;0.1;150.4;o3;14/06/2023;16/06/2023
28251;4;22.9;11.7;25.1;0.4;155.1;o3;14/06/2023;16/06/2023
45159;4;19;8.8;20.2;0.3;149.7;o3;14/06/2023;16/06/2023
41103;4;17.1;9;19;0.1;150.5;o3;14/06/2023;16/06/2023
18176;4;14.5;7.4;14.6;0.1;139.1;o3;14/06/2023;16/06/2023
18186;4;14.8;8.2;15.9;0.2;140.2;o3;14/06/2023;16/06/2023
45015;4;20.9;11.1;22.7;0.3;155.9;o3;14/06/2023;16/06/2023
18230;4;13.3;8.1;12.1;0.2;138.2;o3;14/06/2023;16/06/2023
18209;4;12.6;7.8;15.3;0.2;137.7;o3;14/06/2023;16/06/2023
18061;4;13.8;7.3;14.7;0.1;138;o3;14/06/2023;16/06/2023
28173;4;22.1;11.4;23.9;0.3;163.9;o3;14/06/2023;16/06/2023
36104;4;16.6;10.5;15.4;0.1;144.7;o3;14/06/2023;16/06/2023
41189;4;15.5;8.7;17.1;0.1;152;o3;14/06/2023;16/06/2023
28405;4;23.2;11.8;25.8;0.4;154.7;o3;14/06/2023;16/06/2023
28348;4;23.2;11.6;24.7;0.4;153.7;o3;14/06/2023;16/06/2023
45216;4;17.9;8.2;20.4;0.2;145;o3;14/06/2023;16/06/2023
45074;4;18.7;9.4;19.6;0.2;150.5;o3;14/06/2023;16/06/2023
18153;4;13;7.9;12.2;0.2;138.5;o3;14/06/2023;16/06/2023
18218;4;14;7.6;13.7;0.1;136.9;o3;14/06/2023;16/06/2023
36024;4;16.3;9.3;16.3;0.1;150.2;o3;14/06/2023;16/06/2023
41149;4;16.8;9;18.6;0.1;150.5;o3;14/06/2023;16/06/2023
28016;4;19;9.9;21.3;0.2;151.5;o3;14/06/2023;16/06/2023
36027;4;15.2;9.2;14.4;0.1;146.5;o3;14/06/2023;16/06/2023
41268;4;14.5;8;16.2;0.1;152.1;o3;14/06/2023;16/06/2023
28332;4;23;11.8;26;0.4;155.1;o3;14/06/2023;16/06/2023
36168;4;17;10.8;12.9;0.1;146.3;o3;14/06/2023;16/06/2023
36239;4;16.7;10.5;13;0.1;146.3;o3;14/06/2023;16/06/2023
18236;4;12.6;7.5;12.9;0.2;137.9;o3;14/06/2023;16/06/2023
36147;4;14.9;8.3;15.8;0.1;147.7;o3;14/06/2023;16/06/2023
37188;4;15.8;9.2;18.5;0.1;147.5;o3;14/06/2023;16/06/2023
28267;4;22.8;11.6;24.7;0.4;155;o3;14/06/2023;16/06/2023
28275;4;22.6;11.5;24.2;0.3;160.4;o3;14/06/2023;16/06/2023
36130;4;14.1;8.8;13;0.1;137.9;o3;14/06/2023;16/06/2023
45198;4;19.8;10;22.6;0.3;148.5;o3;14/06/2023;16/06/2023
36086;4;15.5;9.1;15.4;0.1;148.5;o3;14/06/2023;16/06/2023
41212;4;15.8;8.9;18.8;0.1;154.7;o3;14/06/2023;16/06/2023
28215;4;21.5;11.2;23.1;0.4;156.3;o3;14/06/2023;16/06/2023
37141;4;15.3;8.7;16.7;0.1;148.1;o3;14/06/2023;16/06/2023
45226;4;16.4;8.1;18.4;0.1;146.1;o3;14/06/2023;16/06/2023
45026;4;18.1;7.2;20;0.1;148;o3;14/06/2023;16/06/2023
28409;4;21.1;10.7;23.3;0.2;153;o3;14/06/2023;16/06/2023
18259;4;15.9;7.6;17;0.1;140.6;o3;14/06/2023;16/06/2023
45112;4;17.2;7.9;18.8;0.2;145.2;o3;14/06/2023;16/06/2023
41224;4;16.7;8.8;19.1;0.1;149.4;o3;14/06/2023;16/06/2023
36205;4;13.5;7.7;15.9;0.2;147;o3;14/06/2023;16/06/2023
28286;4;21.9;11;23.1;0.3;154;o3;14/06/2023;16/06/2023
45338;4;18.6;8.5;22;0.2;145.7;o3;14/06/2023;16/06/2023
28387;4;20.3;10.3;20.9;0.2;149.8;o3;14/06/2023;16/06/2023
28079;4;18.7;9.7;21;0.2;151.3;o3;14/06/2023;16/06/2023
28379;4;22.1;11.4;24;0.3;167.3;o3;14/06/2023;16/06/2023
45143;4;15.7;7.1;17.3;0.1;141.3;o3;14/06/2023;16/06/2023
41289;4;17;8.8;21;0.2;149.3;o3;14/06/2023;16/06/2023
18177;4;12.8;7.3;11.9;0.4;138;o3;14/06/2023;16/06/2023
45096;4;16.5;7.6;18;0.1;144.8;o3;14/06/2023;16/06/2023
18095;4;14.2;7.7;13.2;0.5;139.2;o3;14/06/2023;16/06/2023
41019;4;17.2;8.9;18.8;0.1;149.3;o3;14/06/2023;16/06/2023
45068;4;18.8;8.4;22.1;0.2;146.8;o3;14/06/2023;16/06/2023
28274;4;21.4;11.1;22.9;0.4;156;o3;14/06/2023;16/06/2023
45077;4;16.5;7.4;18.4;0.1;142.5;o3;14/06/2023;16/06/2023
36020;4;16.4;11.1;13.2;0.1;136.7;o3;14/06/2023;16/06/2023
37223;4;17.1;9.8;18.7;0.1;156.6;o3;14/06/2023;16/06/2023
18058;4;12.4;7.4;12.7;0.2;137.4;o3;14/06/2023;16/06/2023
18196;4;13.9;7.8;11.5;0.2;136.3;o3;14/06/2023;16/06/2023
37238;4;15.9;9.3;16.1;0.1;145.6;o3;14/06/2023;16/06/2023
18248;4;13.3;7.4;14;0.2;137.1;o3;14/06/2023;16/06/2023
45334;4;17.2;8;18.3;0.2;145.5;o3;14/06/2023;16/06/2023
28015;4;22.6;11.9;24.5;0.4;175.3;o3;14/06/2023;16/06/2023
28331;4;21.3;10.6;21.1;0.2;149.4;o3;14/06/2023;16/06/2023
28012;4;19.8;10.2;21.5;0.2;151.9;o3;14/06/2023;16/06/2023
28334;4;19.6;10.1;21.3;0.2;151.6;o3;14/06/2023;16/06/2023
28127;4;21.6;10.9;23.3;0.3;154.3;o3;14/06/2023;16/06/2023
